name	party	district	label
Carol Ammons	D	103	Carol Ammons (103, D)
Jaime M. Andrade, Jr.	D	40	Jaime M. Andrade, Jr. (40, D)
Dagmara Avelar	D	85	Dagmara Avelar (85, D)
Harry Benton	D	97	Harry Benton (97, D)
Diane Blair-Sherlock	D	46	Diane Blair-Sherlock (46, D)
Kam Buckner	D	26	Kam Buckner (26, D)
Jason Bunting	R	106	Jason Bunting (106, R)
Kelly M. Burke	D	36	Kelly M. Burke (36, D)
John M. Cabello	R	90	John M. Cabello (90, R)
Mary Beth Canty	D	54	Mary Beth Canty (54, D)
Jonathan Carroll	D	57	Jonathan Carroll (57, D)
Kelly M. Cassidy	D	14	Kelly M. Cassidy (14, D)
Dan Caulkins	R	88	Dan Caulkins (88, R)
Sharon Chung	D	91	Sharon Chung (91, D)
Michael J. Coffey, Jr.	R	95	Michael J. Coffey, Jr. (95, R)
Lakesia Collins	D	9	Lakesia Collins (9, D)
Terra Costa Howard	D	42	Terra Costa Howard (42, D)
Fred Crespo	D	44	Fred Crespo (44, D)
Margaret Croke	D	12	Margaret Croke (12, D)
"Christopher ""C.D"" Davidsmeyer"	R	100	"Christopher ""C.D"" Davidsmeyer (100, R)"
Jed Davis	R	75	Jed Davis (75, R)
"William ""Will"" Davis"	D	30	"William ""Will"" Davis (30, D)"
Eva-Dina Delgado	D	3	Eva-Dina Delgado (3, D)
Anthony DeLuca	D	80	Anthony DeLuca (80, D)
Daniel Didech	D	59	Daniel Didech (59, D)
Kimberly du Buclet	D	5	Kimberly du Buclet (5, D)
John Egofske	R	82	John Egofske (82, R)
Amy Elik	R	111	Amy Elik (111, R)
Marcus C. Evans, Jr.	D	33	Marcus C. Evans, Jr. (33, D)
Laura Faver Dias	D	62	Laura Faver Dias (62, D)
Mary E. Flowers	D	31	Mary E. Flowers (31, D)
La Shawn K. Ford	D	8	La Shawn K. Ford (8, D)
Randy E. Frese	R	99	Randy E. Frese (99, R)
David Friess	R	115	David Friess (115, R)
Bradley Fritts	R	74	Bradley Fritts (74, R)
Robyn Gabel	D	18	Robyn Gabel (18, D)
Mary Gill	D	35	Mary Gill (35, D)
Jennifer Gong-Gershowitz	D	17	Jennifer Gong-Gershowitz (17, D)
Edgar Gonzalez, Jr.	D	23	Edgar Gonzalez, Jr. (23, D)
Jehan Gordon-Booth	D	92	Jehan Gordon-Booth (92, D)
Amy L. Grant	R	47	Amy L. Grant (47, R)
Angelica Guerrero-Cuellar	D	22	Angelica Guerrero-Cuellar (22, D)
Will Guzzardi	D	39	Will Guzzardi (39, D)
Jackie Haas	R	79	Jackie Haas (79, R)
Brad Halbrook	R	107	Brad Halbrook (107, R)
Norine K. Hammond	R	94	Norine K. Hammond (94, R)
Matt Hanson	D	83	Matt Hanson (83, D)
Sonya M. Harper	D	6	Sonya M. Harper (6, D)
William E Hauter	R	87	William E Hauter (87, R)
Barbara Hernandez	D	50	Barbara Hernandez (50, D)
"Elizabeth ""Lisa"" Hernandez"	D	2	"Elizabeth ""Lisa"" Hernandez (2, D)"
Norma Hernandez	D	77	Norma Hernandez (77, D)
Maura Hirschauer	D	49	Maura Hirschauer (49, D)
Jay Hoffman	D	113	Jay Hoffman (113, D)
Hoan Huynh	D	13	Hoan Huynh (13, D)
Paul Jacobs	R	118	Paul Jacobs (118, R)
Lilian Jiménez	D	4	Lilian Jiménez (4, D)
Gregg Johnson	D	72	Gregg Johnson (72, D)
Thaddeus Jones	D	29	Thaddeus Jones (29, D)
Jeff Keicher	R	70	Jeff Keicher (70, R)
Michael J. Kelly	D	15	Michael J. Kelly (15, D)
Stephanie A. Kifowit	D	84	Stephanie A. Kifowit (84, D)
Jenn Ladisch Douglass	D	45	Jenn Ladisch Douglass (45, D)
Lindsey LaPointe	D	19	Lindsey LaPointe (19, D)
Camille Y. Lilly	D	78	Camille Y. Lilly (78, D)
Theresa Mah	D	24	Theresa Mah (24, D)
Natalie A. Manley	D	98	Natalie A. Manley (98, D)
Michael T. Marron	R	104	Michael T. Marron (104, R)
Joyce Mason	D	61	Joyce Mason (61, D)
Rita Mayfield	D	60	Rita Mayfield (60, D)
Tony M. McCombie	R	89	Tony M. McCombie (89, R)
Martin McLaughlin	R	52	Martin McLaughlin (52, R)
Charles Meier	R	109	Charles Meier (109, R)
Debbie Meyers-Martin	D	38	Debbie Meyers-Martin (38, D)
Chris Miller	R	101	Chris Miller (101, R)
Anna Moeller	D	43	Anna Moeller (43, D)
Bob Morgan	D	58	Bob Morgan (58, D)
Martin J. Moylan	D	55	Martin J. Moylan (55, D)
Michelle Mussman	D	56	Michelle Mussman (56, D)
Suzanne M. Ness	D	66	Suzanne M. Ness (66, D)
Cyril Nichols	D	32	Cyril Nichols (32, D)
Adam M. Niemerg	R	102	Adam M. Niemerg (102, R)
Kevin John Olickal	D	16	Kevin John Olickal (16, D)
Aaron M. Ortiz	D	1	Aaron M. Ortiz (1, D)
Tim Ozinga	R	37	Tim Ozinga (37, R)
Abdelnasser Rashid	D	21	Abdelnasser Rashid (21, D)
Steven Reick	R	63	Steven Reick (63, R)
"Robert ""Bob"" Rita"	D	28	"Robert ""Bob"" Rita (28, D)"
Wayne A Rosenthal	R	108	Wayne A Rosenthal (108, R)
Jennifer Sanalitro	R	48	Jennifer Sanalitro (48, R)
Sue Scherer	D	96	Sue Scherer (96, D)
Kevin Schmidt	R	114	Kevin Schmidt (114, R)
Dave Severin	R	116	Dave Severin (116, R)
Justin Slaughter	D	27	Justin Slaughter (27, D)
Nicholas K. Smith	D	34	Nicholas K. Smith (34, D)
Joe C. Sosnowski	R	69	Joe C. Sosnowski (69, R)
Ryan Spain	R	73	Ryan Spain (73, R)
Anne Stava-Murray	D	81	Anne Stava-Murray (81, D)
Brad Stephens	R	20	Brad Stephens (20, R)
Katie Stuart	D	112	Katie Stuart (112, D)
Dan Swanson	R	71	Dan Swanson (71, R)
Nabeela Syed	D	51	Nabeela Syed (51, D)
Curtis J. Tarver, II	D	25	Curtis J. Tarver, II (25, D)
Dennis Tipsword, Jr.	R	105	Dennis Tipsword, Jr. (105, R)
Dan Ugaste	R	65	Dan Ugaste (65, R)
Dave Vella	D	68	Dave Vella (68, D)
Mark L. Walker	D	53	Mark L. Walker (53, D)
"Lawrence ""Larry"" Walsh, Jr."	D	86	"Lawrence ""Larry"" Walsh, Jr. (86, D)"
Travis Weaver	R	93	Travis Weaver (93, R)
Tom Weber	R	64	Tom Weber (64, R)
"Emanuel ""Chris"" Welch"	D	7	"Emanuel ""Chris"" Welch (7, D)"
Maurice A. West, II	D	67	Maurice A. West, II (67, D)
Blaine Wilhour	R	110	Blaine Wilhour (110, R)
Ann M. Williams	D	11	Ann M. Williams (11, D)
Jawaharial Williams	D	10	Jawaharial Williams (10, D)
Patrick Windhorst	R	117	Patrick Windhorst (117, R)
Janet Yang Rohr	D	41	Janet Yang Rohr (41, D)
Lance Yednock	D	76	Lance Yednock (76, D)
